"product_category_name","verao","inverno","outono","primavera","ano"
"cama_mesa_banho",9.57,10.38,10.15,10.30,10.10
"beleza_saude",8.11,9.59,8.58,7.11,8.48
"esporte_lazer",8.20,7.50,7.06,7.94,7.62
"moveis_decoracao",8.24,7.00,7.01,7.82,7.45
"informatica_acessorios",8.99,6.28,6.60,5.55,6.91
"utilidades_domesticas",4.96,7.50,7.08,4.72,6.25
"relogios_presentes",4.24,5.50,5.71,5.48,5.25
"telefonia",4.43,3.30,4.14,4.24,4.00
"ferramentas_jardim",3.81,3.25,3.56,5.47,3.88
"automotivo",3.59,3.87,3.90,3.34,3.71
