"Tipo_Alvo","Ano","Ataques","Mortes","Media"
"Abortion Related",1994,2,2,1
"Abortion Related",2009,1,1,1
"Abortion Related",2015,1,3,3
"Airports & Aircraft",1988,1,2,2
"Airports & Aircraft",1996,1,123,123
"Airports & Aircraft",1999,1,1,1
"Airports & Aircraft",2000,1,1,1
"Airports & Aircraft",2001,3,25,8.3
"Airports & Aircraft",2003,1,2,2
"Airports & Aircraft",2004,1,2,2
"Airports & Aircraft",2008,1,2,2
"Airports & Aircraft",2009,6,34,5.7
"Airports & Aircraft",2010,4,19,4.8
"Airports & Aircraft",2011,5,48,9.6
"Airports & Aircraft",2012,1,3,3
"Airports & Aircraft",2013,3,18,6
"Airports & Aircraft",2014,3,79,26.3
"Airports & Aircraft",2016,3,90,30
"Airports & Aircraft",2017,2,6,3
"Business",1971,1,3,3
"Business",1972,1,2,2
"Business",1980,1,13,13
"Business",1981,1,1,1
"Business",1982,1,1,1
"Business",1983,2,2,1
"Business",1985,1,1,1
"Business",1997,1,4,4
"Business",1998,3,28,9.3
"Business",1999,6,14,2.3
"Business",2000,14,38,2.7
"Business",2001,31,145,4.7
"Business",2002,28,539,19.2
"Business",2003,18,94,5.2
"Business",2004,23,178,7.7
"Business",2005,23,172,7.5
"Business",2006,19,110,5.8
"Business",2007,19,49,2.6
"Business",2008,128,653,5.1
"Business",2009,146,640,4.4
"Business",2010,175,676,3.9
"Business",2011,160,743,4.6
"Business",2012,28,127,4.5
"Business",2013,38,339,8.9
"Business",2014,21,91,4.3
"Business",2015,30,294,9.8
"Business",2016,16,210,13.1
"Business",2017,8,662,82.8
"Business",2018,14,106,7.6
"Business",2019,20,251,12.6
"Educational Institution",1989,1,15,15
"Educational Institution",1990,1,1,1
"Educational Institution",1998,3,12,4
"Educational Institution",1999,2,18,9
"Educational Institution",2000,1,2,2
"Educational Institution",2001,4,14,3.5
"Educational Institution",2002,1,5,5
"Educational Institution",2003,2,2,1
"Educational Institution",2004,5,353,70.6
"Educational Institution",2005,8,10,1.2
"Educational Institution",2006,7,19,2.7
"Educational Institution",2007,9,20,2.2
"Educational Institution",2008,34,40,1.2
"Educational Institution",2009,37,193,5.2
"Educational Institution",2010,38,48,1.3
