"Tipo_Arma","Ano","Ataques","Mortes","Media"
"Biological",2001,5,7,1.4
"Chemical",1998,1,2,2
"Chemical",1999,2,67,33.5
"Chemical",2000,1,200,200
"Chemical",2001,1,4,4
"Chemical",2002,2,10,5
"Chemical",2003,3,3,1
"Chemical",2007,6,10,1.7
"Chemical",2009,2,2,1
"Chemical",2016,2,26,13
"Chemical",2018,1,1,1
"Explosives",1971,2,4,2
"Explosives",1972,1,1,1
"Explosives",1975,1,4,4
"Explosives",1980,1,13,13
"Explosives",1985,2,3,1.5
"Explosives",1986,1,2,2
"Explosives",1988,1,9,9
"Explosives",1989,1,1,1
"Explosives",1990,1,2,2
"Explosives",1991,3,39,13
"Explosives",1992,2,29,14.5
"Explosives",1995,2,37,18.5
"Explosives",1996,2,13,6.5
"Explosives",1997,9,284,31.6
"Explosives",1998,56,386,6.9
"Explosives",1999,62,380,6.1
"Explosives",2000,154,817,5.3
"Explosives",2001,134,612,4.6
"Explosives",2002,145,1103,7.6
"Explosives",2003,110,772,7
"Explosives",2004,159,2170,13.6
"Explosives",2005,195,1126,5.8
"Explosives",2006,177,1243,7
"Explosives",2007,275,2004,7.3
"Explosives",2008,815,4005,4.9
"Explosives",2009,926,5175,5.6
"Explosives",2010,881,4862,5.5
"Explosives",2011,906,4501,5
"Explosives",2012,274,1439,5.3
"Explosives",2013,405,3203,7.9
"Explosives",2014,256,2581,10.1
"Explosives",2015,127,1323,10.4
"Explosives",2016,143,1737,12.1
"Explosives",2017,145,2770,19.1
"Explosives",2018,104,1316,12.7
"Explosives",2019,99,731,7.4
"Firearms",1970,12,13,1.1
"Firearms",1971,1,2,2
"Firearms",1972,3,5,1.7
"Firearms",1973,13,28,2.2
"Firearms",1974,7,7,1
"Firearms",1975,3,26,8.7
"Firearms",1977,3,11,3.7
"Firearms",1978,3,18,6
"Firearms",1979,4,5,1.2
"Firearms",1980,6,9,1.5
"Firearms",1981,4,9,2.2
"Firearms",1982,2,2,1
"Firearms",1983,2,2,1
"Firearms",1984,1,1,1
"Firearms",1986,1,1,1
"Firearms",1988,3,30,10
"Firearms",1989,1,15,15
"Firearms",1990,2,3,1.5
"Firearms",1991,3,13,4.3
"Firearms",1994,3,3,1
"Firearms",1995,1,1,1
